"국가(대륙)별","상품군별","판매유형별","시점",데이터
"중국","음반·비디오·악기","면세점 이외","2021.2/4",18993
"중국","음반·비디오·악기","면세점 이외","2021.3/4",12679
"중국","음반·비디오·악기","면세점 이외","2021.4/4",17863
"중국","음반·비디오·악기","면세점 이외","2022.1/4",16443
"중국","음반·비디오·악기","면세점 이외","2022.2/4 p)",27632
"중국","의류 및 패션 관련상품","면세점 이외","2017.1/4",26552
"중국","의류 및 패션 관련상품","면세점 이외","2017.2/4",19064
"중국","의류 및 패션 관련상품","면세점 이외","2017.3/4",14281
"중국","의류 및 패션 관련상품","면세점 이외","2017.4/4",24351
"중국","의류 및 패션 관련상품","면세점 이외","2018.1/4",23647
"중국","의류 및 패션 관련상품","면세점 이외","2018.2/4",21928
"중국","의류 및 패션 관련상품","면세점 이외","2018.3/4",17180
"중국","의류 및 패션 관련상품","면세점 이외","2018.4/4",24856
"중국","의류 및 패션 관련상품","면세점 이외","2019.1/4",21745
"중국","의류 및 패션 관련상품","면세점 이외","2019.2/4",19688
"중국","의류 및 패션 관련상품","면세점 이외","2019.3/4",16215
"중국","의류 및 패션 관련상품","면세점 이외","2019.4/4",20196
"중국","의류 및 패션 관련상품","면세점 이외","2020.1/4",15243
"중국","의류 및 패션 관련상품","면세점 이외","2020.2/4",18497
"중국","의류 및 패션 관련상품","면세점 이외","2020.3/4",17668
"중국","의류 및 패션 관련상품","면세점 이외","2020.4/4",21660
"중국","의류 및 패션 관련상품","면세점 이외","2021.1/4",16773
"중국","의류 및 패션 관련상품","면세점 이외","2021.2/4",16827
"중국","의류 및 패션 관련상품","면세점 이외","2021.3/4",13217
"중국","의류 및 패션 관련상품","면세점 이외","2021.4/4",17261
"중국","의류 및 패션 관련상품","면세점 이외","2022.1/4",11439
"중국","의류 및 패션 관련상품","면세점 이외","2022.2/4 p)",10314
"중국","스포츠·레저용품","면세점 이외","2017.1/4",1089
"중국","스포츠·레저용품","면세점 이외","2017.2/4",638
"중국","스포츠·레저용품","면세점 이외","2017.3/4",596
"중국","스포츠·레저용품","면세점 이외","2017.4/4",628
"중국","스포츠·레저용품","면세점 이외","2018.1/4",490
"중국","스포츠·레저용품","면세점 이외","2018.2/4",474
"중국","스포츠·레저용품","면세점 이외","2018.3/4",435
"중국","스포츠·레저용품","면세점 이외","2018.4/4",340
"중국","스포츠·레저용품","면세점 이외","2019.1/4",455
"중국","스포츠·레저용품","면세점 이외","2019.2/4",450
"중국","스포츠·레저용품","면세점 이외","2019.3/4",557
